ndataset,es,errorsd,n,k,hyp_val,seed
1,0,0.81,20,2,0.1,1089570229
2,0,0.81,20,2,0.1,807760552
3,0,0.81,20,2,0.1,394292433
4,0,0.81,20,2,0.1,125852597
5,0,0.81,20,2,0.1,2047879801
6,0,0.81,20,2,0.1,1661115635
7,0,0.81,20,2,0.1,1910778883
8,0,0.81,20,2,0.1,1307406530
9,0,0.81,20,2,0.1,1349209505
10,0,0.81,20,2,0.1,1443067017
11,0,0.81,20,2,0.1,1771984819
12,0,0.81,20,2,0.1,140561865
13,0,0.81,20,2,0.1,2021538323
14,0,0.81,20,2,0.1,971289069
15,0,0.81,20,2,0.1,51358017
16,0,0.81,20,2,0.1,25473640
17,0,0.81,20,2,0.1,1965675435
18,0,0.81,20,2,0.1,850573419
19,0,0.81,20,2,0.1,1814333822
20,0,0.81,20,2,0.1,1399715390
21,0,0.81,20,2,0.1,1843069917
22,0,0.81,20,2,0.1,1815425694
23,0,0.81,20,2,0.1,86709722
24,0,0.81,20,2,0.1,566773698
25,0,0.81,20,2,0.1,247123480
26,0,0.81,20,2,0.1,208189462
27,0,0.81,20,2,0.1,1388542735
28,0,0.81,20,2,0.1,1447676848
29,0,0.81,20,2,0.1,1645969981
30,0,0.81,20,2,0.1,1562930936
31,0,0.81,20,2,0.1,900965232
32,0,0.81,20,2,0.1,1891543059
33,0,0.81,20,2,0.1,52257152
34,0,0.81,20,2,0.1,1613530711
35,0,0.81,20,2,0.1,778204675
36,0,0.81,20,2,0.1,267853181
37,0,0.81,20,2,0.1,1703495494
38,0,0.81,20,2,0.1,248373458
39,0,0.81,20,2,0.1,294546498
40,0,0.81,20,2,0.1,1424278548
41,0,0.81,20,2,0.1,932138322
42,0,0.81,20,2,0.1,477900498
43,0,0.81,20,2,0.1,974826974
44,0,0.81,20,2,0.1,138233983
45,0,0.81,20,2,0.1,353025089
46,0,0.81,20,2,0.1,638368360
47,0,0.81,20,2,0.1,1942128891
48,0,0.81,20,2,0.1,1338048200
49,0,0.81,20,2,0.1,1488760423
50,0,0.81,20,2,0.1,39467689
51,0,0.81,20,2,0.1,600206731
